id,product_id,schedule_id,created_at,updated_at
1,3,188,2014-03-21 10:54:43.064616,2014-03-21 10:54:43.064616
2,6,188,2014-03-21 10:54:43.069267,2014-03-21 10:54:43.069267
3,11,189,2014-03-21 11:00:39.532287,2014-03-21 11:00:39.532287
4,8,191,2014-03-21 11:16:50.023234,2014-03-21 11:16:50.023234
5,3,192,2014-03-21 11:18:36.857374,2014-03-21 11:18:36.857374
6,5,192,2014-03-21 11:18:36.863323,2014-03-21 11:18:36.863323
7,11,193,2014-03-27 02:06:00.187586,2014-03-27 02:06:00.187586
8,11,194,2014-03-27 02:07:49.214947,2014-03-27 02:07:49.214947
9,11,195,2014-03-27 02:08:45.186016,2014-03-27 02:08:45.186016
10,11,196,2014-03-27 02:19:14.345726,2014-03-27 02:19:14.345726
11,8,197,2014-03-31 05:22:51.571896,2014-03-31 05:22:51.571896
12,11,198,2014-03-31 05:31:51.271138,2014-03-31 05:31:51.271138
13,11,199,2014-03-31 05:35:02.279262,2014-03-31 05:35:02.279262
14,12,200,2014-03-31 05:37:04.754005,2014-03-31 05:37:04.754005
15,11,201,2014-03-31 05:38:30.725998,2014-03-31 05:38:30.725998
16,3,202,2014-04-01 02:38:35.93004,2014-04-01 02:38:35.93004
17,12,202,2014-04-01 02:38:35.936659,2014-04-01 02:38:35.936659
18,3,204,2014-04-01 09:48:01.106015,2014-04-01 09:48:01.106015
19,14,204,2014-04-01 09:48:01.113225,2014-04-01 09:48:01.113225
20,11,206,2014-04-09 02:18:24.575331,2014-04-09 02:18:24.575331
21,5,207,2014-04-09 06:37:49.217593,2014-04-09 06:37:49.217593
22,11,207,2014-04-09 06:37:49.223064,2014-04-09 06:37:49.223064
23,11,210,2014-04-10 04:53:00.70257,2014-04-10 04:53:00.70257
24,8,211,2014-04-10 04:55:29.70126,2014-04-10 04:55:29.70126
25,8,212,2014-04-10 04:55:30.159006,2014-04-10 04:55:30.159006
26,11,213,2014-04-10 04:57:33.090192,2014-04-10 04:57:33.090192
27,12,214,2014-04-10 05:05:02.212003,2014-04-10 05:05:02.212003
28,5,215,2014-04-10 05:07:27.453915,2014-04-10 05:07:27.453915
29,11,216,2014-04-10 05:10:35.307982,2014-04-10 05:10:35.307982
30,11,218,2014-04-10 06:25:54.759392,2014-04-10 06:25:54.759392
31,12,223,2014-04-28 03:08:38.52898,2014-04-28 03:08:38.52898
32,5,226,2014-04-28 03:15:45.217672,2014-04-28 03:15:45.217672
33,11,228,2014-05-06 05:48:56.822888,2014-05-06 05:48:56.822888
34,11,229,2014-05-09 09:00:43.811633,2014-05-09 09:00:43.811633
35,12,230,2014-05-14 06:11:49.146249,2014-05-14 06:11:49.146249
36,5,233,2014-05-15 03:47:13.086557,2014-05-15 03:47:13.086557
37,11,234,2014-05-15 03:48:41.850841,2014-05-15 03:48:41.850841
38,11,235,2014-05-15 03:54:15.612369,2014-05-15 03:54:15.612369
39,12,236,2014-05-20 06:16:31.555108,2014-05-20 06:16:31.555108
40,11,240,2014-05-22 02:26:37.690322,2014-05-22 02:26:37.690322
41,11,242,2014-05-27 03:28:56.450782,2014-05-27 03:28:56.450782
42,12,244,2014-05-27 03:36:48.107554,2014-05-27 03:36:48.107554
43,11,250,2014-06-02 02:37:24.411136,2014-06-02 02:37:24.411136
44,12,251,2014-06-02 02:54:56.019657,2014-06-02 02:54:56.019657
45,11,252,2014-06-02 05:52:45.712645,2014-06-02 05:52:45.712645
46,12,253,2014-06-03 14:06:16.518162,2014-06-03 14:06:16.518162
47,11,254,2014-06-03 14:08:54.537801,2014-06-03 14:08:54.537801
48,11,255,2014-06-03 14:23:58.346376,2014-06-03 14:23:58.346376
49,11,260,2014-06-05 09:44:11.048936,2014-06-05 09:44:11.048936
50,11,261,2014-06-05 10:13:04.821829,2014-06-05 10:13:04.821829
51,12,262,2014-06-05 10:15:38.535892,2014-06-05 10:15:38.535892
52,11,263,2014-06-05 10:17:25.430142,2014-06-05 10:17:25.430142
53,11,264,2014-06-10 03:52:16.216062,2014-06-10 03:52:16.216062
54,11,265,2014-06-10 03:53:06.973556,2014-06-10 03:53:06.973556
55,12,266,2014-06-14 07:18:51.210842,2014-06-14 07:18:51.210842
56,11,267,2014-06-14 07:21:01.451181,2014-06-14 07:21:01.451181
57,8,268,2014-06-14 07:23:19.552777,2014-06-14 07:23:19.552777
58,8,269,2014-06-14 07:25:14.367648,2014-06-14 07:25:14.367648
59,11,271,2014-06-16 05:21:58.215065,2014-06-16 05:21:58.215065
60,4,276,2014-06-30 04:40:10.758167,2014-06-30 04:40:10.758167
61,8,280,2014-07-21 07:33:28.814403,2014-07-21 07:33:28.814403
62,8,281,2014-07-21 07:37:27.658664,2014-07-21 07:37:27.658664
63,11,282,2014-07-21 07:38:58.807785,2014-07-21 07:38:58.807785
64,12,283,2014-07-21 07:40:39.90342,2014-07-21 07:40:39.90342
65,8,284,2014-07-21 07:42:52.788781,2014-07-21 07:42:52.788781
66,8,285,2014-07-21 07:51:33.314264,2014-07-21 07:51:33.314264
