id,name,created_at,updated_at
1,Ajanta Packaging (Thailand) Ltd.,2014-03-21 10:51:31.092226,2014-03-21 10:51:31.092226
2,"Aksorn Art World Pack Co.,Ltd.",2014-03-21 10:51:31.099131,2014-03-21 10:51:31.099131
4,CCL Label (Thai) Ltd.,2014-03-21 10:51:31.104767,2014-03-21 10:51:31.104767
5,Flexoprint (Thailand) Co.,2014-03-21 10:51:31.110065,2014-03-21 10:51:31.110065
6,Huhtamaki Films Thailand Ltd.,2014-03-21 10:51:31.115261,2014-03-21 10:51:31.115261
7,Imco Pack Corporation Ltd.,2014-03-21 10:51:31.120597,2014-03-21 10:51:31.120597
8,Industrial Inkjet Ltd.,2014-03-21 10:51:31.126032,2014-03-21 10:51:31.126032
12,P.N. Print & Pack (Thailand) Co.,2014-03-21 10:51:31.136875,2014-03-21 10:51:31.136875
14,Poranunt Co.,2014-03-21 10:51:31.143334,2014-03-21 10:51:31.143334
15,Printing Solutions Co.,2014-03-21 10:51:31.148845,2014-03-21 10:51:31.148845
16,PW Printing Co.,2014-03-21 10:51:31.154346,2014-03-21 10:51:31.154346
17,"Salee Printing Co.,Ltd.",2014-03-21 10:51:31.161079,2014-03-21 10:51:31.161079
18,Siam Toppan Packaging Co.,2014-03-21 10:51:31.166399,2014-03-21 10:51:31.166399
19,"Siam Carton Industry Co.,Ltd.",2014-03-21 10:51:31.171767,2014-03-21 10:51:31.171767
21,"TAP Business Development Co.,Ltd.",2014-03-21 10:51:31.177451,2014-03-21 10:51:31.177451
22,Terinex Siam Co.,2014-03-21 10:51:31.182565,2014-03-21 10:51:31.182565
23,Thai British Security Printing PCL,2014-03-21 10:51:31.187842,2014-03-21 10:51:31.187842
24,Thai Containers (TCC) Co.,2014-03-21 10:51:31.193267,2014-03-21 10:51:31.193267
25,Thai O.P.P Public Company Limited,2014-03-21 10:51:31.198558,2014-03-21 10:51:31.198558
26,Thaisilpa Labelpack.Co.,2014-03-21 10:51:31.203872,2014-03-21 10:51:31.203872
27,"Trisan Printing Co.,Ltd.",2014-03-21 10:51:31.209144,2014-03-21 10:51:31.209144
30,"Wannaprapai International co.,Ltd.",2014-03-21 10:51:31.214612,2014-03-21 10:51:31.214612
31,Yoshimoto Flexo Printing (Thailand) Co.,2014-03-21 10:51:31.219981,2014-03-21 10:51:31.219981
