id,company_id,name,created_at,updated_at
2,23,Bangkok,2014-01-13 05:27:43.15872,2014-01-13 05:27:43.15872
3,25,Bang PaKong,2014-01-13 05:27:43.164295,2014-01-13 05:27:43.164295
4,25,BangNa,2014-01-13 05:27:43.171622,2014-01-13 05:27:43.171622
5,25,Bangkok,2014-01-13 05:27:43.177276,2014-01-13 05:27:43.177276
6,33,"39/73 Moo 2, Samutsakorn Industrial Estate Rama 2 Road, Bang Ka-Jao, Muang Samutsakorn, 74000 Tel :034-490639",2014-01-13 05:27:43.189709,2014-01-13 05:27:43.189709
7,1,"Amata City Industrial Estate, 7/374, Moo 6, Tumbol Marbyangporn, Amphur Pluakdaeng, Rayaong-21140",2014-01-13 05:27:43.195761,2014-01-13 05:27:43.195761
8,2,"118/5-7 Moo 5 Rama 2 Rd. Soi Watyairom, Takam, Bangkhuntian, Bangkok , Thailand, 10150 Tel: 02 863-9777",2014-01-13 05:27:43.20442,2014-01-13 05:27:43.20442
9,4,"69 Moo 5 Wellgrow Industrial Estate KM 36 Bangna-Trad Highway, Bangsamak Bangpakong, Chachoengsao 24180 Tel: 038 571381",2014-01-13 05:27:43.211852,2014-01-13 05:27:43.211852
10,6,"1/28 Moo.2 Samutsakorn Industrial Estate Rama2 Rd,Ta-Sai , Muang Samutsakorn 74000 Tel: 034-403300",2014-01-13 05:27:43.218658,2014-01-13 05:27:43.218658
11,7,"588/85 Soi Buan Hua, Sathupradit Road Bangpongpang, Yannawa Bangkok 10120 Tel: 02 295 4926-30",2014-01-13 05:27:43.224556,2014-01-13 05:27:43.224556
12,17,"19 Moo 10 T. Klong 4, A. Klongluang, Pathumthani 12120 Tel: 02 529 6000",2014-01-13 05:27:43.233159,2014-01-13 05:27:43.233159
13,34,"Jl. Sumur Bandung I no 99, Kel Harjamukti Kec Cimanggis, Depok 16954 Indonesia",2014-01-13 05:27:43.240365,2014-01-13 05:27:43.240365
14,35,"1 Charoenrat Road, Thung Wat Don, Sathon, Bangkok 10120 Tel: 02 210 8888",2014-01-13 05:27:43.250892,2014-01-13 05:27:43.250892
15,36,"221/12 Moo 5, Srinakarintr Road Bangmuang, Muang Samutprakarn 10270 Tel: 02 385 6176-95",2014-01-13 05:27:43.256878,2014-01-13 05:27:43.256878
16,37,"68 / 2 Moo 5, Tambon Bang Samak, Bangpakong, Chachoengsao 24180 Tel: Tel.038-540 000",2014-01-13 05:27:43.296327,2014-01-13 05:27:43.296327
17,39,"51/8 Moo.6, Sethakit 1 Rd, Klongmadua, Kratumban, Samutsakhon 74110 Tel: Tel. 0-3444-7536-8",2014-01-13 05:27:43.305275,2014-01-13 05:27:43.305275
18,40,"192,194,196 Soi Lasalle24, Sukhumvit 105 Road, Bangna, Bangkok 10260 Tel: 02 398 0021-2",2014-01-13 05:27:43.316196,2014-01-13 05:27:43.316196
19,38,"22/45-47 Moo 4 Soi Pracha-utid 33 Yak 10, Bangkok, Thailand 10140 Tel: 02 427 5430",2014-01-13 05:27:43.322728,2014-01-13 05:27:43.322728
20,21,"10 Soi Lasalle 49,  Lasalle Road, Bangna, Bangna Bangkok  10260  Tel: 02 3615346  ",2014-01-15 04:00:34.89138,2014-01-15 04:00:34.89138
21,27,"30/61 Moo 1 Sinsakhon Industrial Estate, Khok Kham, Muang, Samutsakhon 74000 Tel: 034 452276  ",2014-01-15 04:10:57.711435,2014-01-15 04:10:57.711435
22,42,"10 Bangchan Industrial Soi 5/1 Soi Serithai 93, Minburi, Bangkok 10510  Tel:  02 5173020",2014-01-15 05:06:46.681523,2014-01-15 05:06:46.681523
23,43,"500/54 Moo 3 Hemaraj Eastern Seaboard Industrial Estate (Freezone), Tasit, Pluakdaeng, Rayong 21140 Thailand T: +66 38 958227",2014-01-16 04:23:38.262038,2014-01-16 04:23:38.262038
24,44,"222/1 Moo 3 , Soi Watbuaroi, Tambon Bangsaotong, Amphur Bangsaotong Samutprakarn 10540 Tel: 02-3979137-9",2014-01-16 05:00:51.170974,2014-01-16 05:08:27.348866
25,45,"83/1 Moo 4, Khaerai, Kratumban, Samutsakhon 74110 Tel:  034 849401",2014-01-16 05:44:14.022835,2014-01-16 05:44:14.022835
27,46,"9/9 Moo.6 King-Kaew Rd., Rachatheva, Bangplee, Samutprakarn 10540 (Our location next to Soi King Kaew 48.)  Tel. +66 2-1752201-8",2014-01-22 08:21:35.475157,2014-01-22 08:21:35.475157
28,47,"1/1 moo 4 Tambon Bangchang Amphoae Amphawa Samutsongkram 75110, Thailand.  Tel	(034) 751-186-7",2014-01-22 08:34:10.219943,2014-01-22 08:34:10.219943
29,48,"Siam Eastern Industrial Park,60/24, Moo3, Tambol Mabyangporn, Amphur Pluakdaeng, Rayong 21140  Tel: 038891352-4",2014-01-22 08:45:28.741891,2014-01-22 08:45:28.741891
