id,name
1,Ajanta Packaging (Thailand) Ltd.
4,CCL Label (Thai) Ltd.
5,Flexoprint (Thailand) Co.
8,Industrial Inkjet Ltd.
9,Kimpai
12,P.N. Print & Pack (Thailand) Co.
13,Philippines
14,Poranunt Co.
15,Printing Solutions Co.
16,PW Printing Co.
18,Siam Toppan Packaging Co.
19,Siamcarton Packaging Co.
21,TAP Business Development Co.
22,Terinex Siam Co.
23,Thai British Security Printing PCL
24,Thai Containers (TCC) Co.
25,Thai O.P.P Public Company Limited
26,Thaisilpa Labelpack.Co.
27,Trisan Printing Co.
28,UK-Embassy
29,Vietnam
30,Wannaprapai International co.
31,Yoshimoto Flexo Printing (Thailand) Co.
33,Weber Marking Systems (Thailand) Ltd.
2,"Aksorn Art World Pack Co.,Ltd."
6,Huhtamaki Films Thailand Ltd.
7,Imco Pack Corporation Ltd.
17,"Salee Printing Co.,Ltd."
34,PT. Mitra Utama (MUG)
35,"Star RFID Co., Ltd."
36,"Sunshine Press Co., Ltd."
41,"Nilpeter Asia Pacific Co.,Ltd."
37,"Shrinkflex (Thailand) Co.,Ltd."
39,"Siam Success Auto Gravure Co.,Ltd."
40,"Sunsea Plastics P.S.Co.,Ltd"
38,P.V. Graphic Print
