id,company_id,name
1,30,Bangkok
2,23,Bangkok
3,25,Bang PaKong
4,25,BangNa
5,25,Bangkok
6,33,"39/73 Moo 2, Samutsakorn Industrial Estate Rama 2 Road, Bang Ka-Jao, Muang Samutsakorn, 74000 Tel :034-490639"
7,1,"Amata City Industrial Estate, 7/374, Moo 6, Tumbol Marbyangporn, Amphur Pluakdaeng, Rayaong-21140"
8,2,"118/5-7 Moo 5 Rama 2 Rd. Soi Watyairom, Takam, Bangkhuntian, Bangkok , Thailand, 10150 Tel: 02 863-9777"
9,4,"69 Moo 5 Wellgrow Industrial Estate KM 36 Bangna-Trad Highway, Bangsamak Bangpakong, Chachoengsao 24180 Tel: 038 571381"
10,6,"1/28 Moo.2 Samutsakorn Industrial Estate Rama2 Rd,Ta-Sai , Muang Samutsakorn 74000 Tel: 034-403300"
11,7,"588/85 Soi Buan Hua, Sathupradit Road Bangpongpang, Yannawa Bangkok 10120 Tel: 02 295 4926-30"
12,17,"19 Moo 10 T. Klong 4, A. Klongluang, Pathumthani 12120 Tel: 02 529 6000"
13,34,"Jl. Sumur Bandung I no 99, Kel Harjamukti Kec Cimanggis, Depok 16954 Indonesia"
14,35,"1 Charoenrat Road, Thung Wat Don, Sathon, Bangkok 10120 Tel: 02 210 8888"
15,36,"221/12 Moo 5, Srinakarintr Road Bangmuang, Muang Samutprakarn 10270 Tel: 02 385 6176-95"
16,37,"68 / 2 Moo 5, Tambon Bang Samak, Bangpakong, Chachoengsao 24180 Tel: Tel.038-540 000"
17,39,"51/8 Moo.6, Sethakit 1 Rd, Klongmadua, Kratumban, Samutsakhon 74110 Tel: Tel. 0-3444-7536-8"
18,40,"192,194,196 Soi Lasalle24, Sukhumvit 105 Road, Bangna, Bangkok 10260 Tel: 02 398 0021-2"
19,38,"22/45-47 Moo 4 Soi Pracha-utid 33 Yak 10, Bangkok, Thailand 10140 Tel: 02 427 5430"
