id,company_id,name,created_at,updated_at
2,23,Bangkok,2014-03-21 10:51:31.44793,2014-03-21 10:51:31.44793
3,25,Bang PaKong,2014-03-21 10:51:31.456325,2014-03-21 10:51:31.456325
4,25,BangNa,2014-03-21 10:51:31.462209,2014-03-21 10:51:31.462209
5,25,Bangkok,2014-03-21 10:51:31.467854,2014-03-21 10:51:31.467854
6,33,"39/73 Moo 2, Samutsakorn Industrial Estate Rama 2 Road, Bang Ka-Jao, Muang Samutsakorn, 74000 Tel :034-490639",2014-03-21 10:51:31.473488,2014-03-21 10:51:31.473488
7,1,"Amata City Industrial Estate, 7/374, Moo 6, Tumbol Marbyangporn, Amphur Pluakdaeng, Rayaong-21140",2014-03-21 10:51:31.478955,2014-03-21 10:51:31.478955
8,2,"118/5-7 Moo 5 Rama 2 Rd. Soi Watyairom, Takam, Bangkhuntian, Bangkok , Thailand, 10150 Tel: 02 863-9777",2014-03-21 10:51:31.484608,2014-03-21 10:51:31.484608
9,4,"69 Moo 5 Wellgrow Industrial Estate KM 36 Bangna-Trad Highway, Bangsamak Bangpakong, Chachoengsao 24180 Tel: 038 571381",2014-03-21 10:51:31.490545,2014-03-21 10:51:31.490545
10,6,"1/28 Moo.2 Samutsakorn Industrial Estate Rama2 Rd,Ta-Sai , Muang Samutsakorn 74000 Tel: 034-403300",2014-03-21 10:51:31.495904,2014-03-21 10:51:31.495904
11,7,"588/85 Soi Buan Hua, Sathupradit Road Bangpongpang, Yannawa Bangkok 10120 Tel: 02 295 4926-30",2014-03-21 10:51:31.501845,2014-03-21 10:51:31.501845
12,17,"19 Moo 10 T. Klong 4, A. Klongluang, Pathumthani 12120 Tel: 02 529 6000",2014-03-21 10:51:31.50743,2014-03-21 10:51:31.50743
13,34,"Jl. Sumur Bandung I no 99, Kel Harjamukti Kec Cimanggis, Depok 16954 Indonesia",2014-03-21 10:51:31.513388,2014-03-21 10:51:31.513388
14,35,"1 Charoenrat Road, Thung Wat Don, Sathon, Bangkok 10120 Tel: 02 210 8888",2014-03-21 10:51:31.520142,2014-03-21 10:51:31.520142
15,36,"221/12 Moo 5, Srinakarintr Road Bangmuang, Muang Samutprakarn 10270 Tel: 02 385 6176-95",2014-03-21 10:51:31.526379,2014-03-21 10:51:31.526379
16,37,"68 / 2 Moo 5, Tambon Bang Samak, Bangpakong, Chachoengsao 24180 Tel: Tel.038-540 000",2014-03-21 10:51:31.531964,2014-03-21 10:51:31.531964
17,39,"51/8 Moo.6, Sethakit 1 Rd, Klongmadua, Kratumban, Samutsakhon 74110 Tel: Tel. 0-3444-7536-8",2014-03-21 10:51:31.538118,2014-03-21 10:51:31.538118
